wick_idx,date,time_et,direction,wick_pct,extreme,wick_close,entry,entry_price,entry_kind,target_dist_dollar,target_dist_pct,touched_target,touched_day,peak_mfe_dollar,peak_mfe_pct,peak_mfe_day,peak_mae_dollar,peak_mae_pct,rsi_1m_at_wick,stochrsi_1m_at_wick,rsi_5m_at_wick,atr_1m_at_wick,wick_atr_ratio,vwap_at_wick,dist_vwap_pct_at_wick
15,2026-01-20,12:37,up,1.7545,625.4215,614.64,E2,609.47,next_open,10.781500000000051,1.7689960129292748,True,3.0,27.129999999999995,4.451408600915548,5,1.6064999999999827,0.2635896762761059,88.64453358597598,67.01998681491973,84.54681220340613,1.4635714285714454,7.366569058077061,612.8792069105301,0.2872985524090258
16,2026-01-20,15:47,up,1.5827,618.18,608.39,E1,608.785,session_close,9.789999999999964,1.6081210936537471,True,1.0,27.815000000000055,4.5689364882511985,6,1.7350000000000136,0.2849938812552894,58.51808876548911,90.50604081287844,33.02405662633285,1.121707142857133,8.727768261387343,612.268622765809,-0.6334838372556294
16,2026-01-20,15:47,up,1.5827,618.18,608.39,E2,609.47,next_open,9.789999999999964,1.6063136823797663,True,0.0,27.129999999999995,4.451408600915548,5,1.6064999999999827,0.2635896762761059,58.51808876548911,90.50604081287844,33.02405662633285,1.121707142857133,8.727768261387343,612.268622765809,-0.6334838372556294
17,2026-01-21,15:15,up,1.0462,617.17,610.55,E1,620.0999,session_close,6.6200000000000045,1.067569918975959,True,0.0,16.500099999999975,2.660877706963019,5,19.62990000000002,3.1656028327048626,19.07634593936956,15.848665317755026,58.97916916796701,0.9419785714285679,7.027760716425185,611.9739475317164,-0.23268107040497993
17,2026-01-21,15:15,up,1.0462,617.17,610.55,E2,622.35,next_open,6.6200000000000045,1.063710130955251,True,0.0,14.25,2.2897083634610746,4,21.879999999999995,3.515706595966899,19.07634593936956,15.848665317755026,58.97916916796701,0.9419785714285679,7.027760716425185,611.9739475317164,-0.23268107040497993
18,2026-01-27,11:05,down,1.8904,617.99,629.905,E1,631.3788,1h_after,11.914999999999964,1.8871397012379836,True,0.0,36.618799999999965,5.79981462792225,7,5.221200000000067,0.8269520611081759,61.91658391261323,50.78393163848737,,1.3077714285714381,9.110919339333996,628.9615938824172,0.14999423283691327
18,2026-01-27,11:05,down,1.8904,617.99,629.905,E2,635.46,next_open,11.914999999999964,1.8750196707896583,True,4.0,40.700000000000045,6.404809114657106,6,1.1399999999999864,0.179397601737322,61.91658391261323,50.78393163848737,,1.3077714285714381,9.110919339333996,628.9615938824172,0.14999423283691327
19,2026-01-29,12:50,down,1.4884,613.44,622.7858,E1,624.83,1h_after,9.34579999999994,1.4957348398764367,True,0.0,30.07000000000005,4.812509002448674,5,5.7299999999999045,0.9170494374469703,68.86391667808701,78.11892146532848,66.51254953764976,1.215064285714277,7.691609497439883,623.7380769813284,-0.15267257467061807
19,2026-01-29,12:50,down,1.4884,613.44,622.7858,E2,625.71,next_open,9.34579999999994,1.4936312349171244,True,2.0,30.950000000000045,4.946380911284788,4,4.269999999999982,0.6824247654664272,68.86391667808701,78.11892146532848,66.51254953764976,1.215064285714277,7.691609497439883,623.7380769813284,-0.15267257467061807
20,2026-02-04,13:22,up,1.5481,614.96,604.8955,E1,602.47,1h_after,10.064500000000066,1.6705396119308955,True,0.0,19.00999999999999,3.155343834547777,0,9.129999999999995,1.5154281540989585,31.026685947154135,24.793700990373875,35.733201597032675,1.3925785714285683,7.2272403198589075,609.5125536449615,-0.7574993521217825
20,2026-02-04,13:22,up,1.5481,614.96,604.8955,E2,600.21,next_open,10.064500000000066,1.6768297762449917,True,2.0,17.309999999999945,2.8839906032888396,4,6.8700000000000045,1.144599390213426,31.026685947154135,24.793700990373875,35.733201597032675,1.3925785714285683,7.2272403198589075,609.5125536449615,-0.7574993521217825
21,2026-02-06,15:13,up,1.135,614.87,607.97,E1,607.71,session_close,6.899999999999977,1.1354099817347052,True,1.0,9.809999999999945,1.6142568001184683,3,14.370000000000005,2.3646147010909813,45.95272786142095,92.19233694846213,34.81239595338708,0.709164285714272,9.729762396382215,604.7440478160853,0.5334409153036931
21,2026-02-06,15:13,up,1.135,614.87,607.97,E2,607.54,next_open,6.899999999999977,1.1357276887118506,True,0.0,9.980000000000018,1.6426901932383084,2,14.199999999999932,2.3372946637258343,45.95272786142095,92.19233694846213,34.81239595338708,0.709164285714272,9.729762396382215,604.7440478160853,0.5334409153036931
22,2026-02-06,15:49,down,1.3706,600.07,608.41,E1,607.71,session_close,8.339999999999918,1.3723651083575912,True,4.0,14.370000000000005,2.3646147010909813,6,9.809999999999945,1.6142568001184683,51.69445574081447,84.99166361432903,50.049223998146026,0.870121428571427,9.58486910693902,604.8984134582299,0.5805250044704455
22,2026-02-06,15:49,down,1.3706,600.07,608.41,E2,607.54,next_open,8.339999999999918,1.3727491193995323,True,3.0,14.199999999999932,2.3372946637258343,5,9.980000000000018,1.6426901932383084,51.69445574081447,84.99166361432903,50.049223998146026,0.870121428571427,9.58486910693902,604.8984134582299,0.5805250044704455
23,2026-02-13,11:54,up,1.4771,611.08,602.1876,E1,604.2988,1h_after,8.892400000000066,1.4715236899361817,True,7.0,12.531200000000013,2.073676135051073,7,10.958799999999997,1.813473731869068,49.078371568757014,87.3424192806612,57.07035675475719,2.024850000000007,4.391633948193711,600.886194443125,0.21658103795862654
23,2026-02-13,11:54,up,1.4771,611.08,602.1876,E2,598.375,next_open,8.892400000000066,1.4860914978065705,True,6.0,18.45500000000004,3.0841863379987533,6,5.034999999999968,0.8414455817839931,49.078371568757014,87.3424192806612,57.07035675475719,2.024850000000007,4.391633948193711,600.886194443125,0.21658103795862654
24,2026-02-13,14:06,down,1.3101,596.5105,604.59,E1,605.155,1h_after,8.079500000000053,1.335112491840942,True,1.0,11.81499999999994,1.9523923622873383,1,11.675000000000068,1.9292577934578856,28.363561133714455,3.1141532570688457,54.26007556675082,1.1209857142857313,7.207495953816094,602.0969117281238,0.4140676066118022
24,2026-02-13,14:06,down,1.3101,596.5105,604.59,E2,598.375,next_open,8.079500000000053,1.3502402339670028,True,0.0,5.034999999999968,0.8414455817839931,0,18.45500000000004,3.0841863379987533,28.363561133714455,3.1141532570688457,54.26007556675082,1.1209857142857313,7.207495953816094,602.0969117281238,0.4140676066118022
25,2026-02-19,14:38,up,1.693,611.54,601.3594,E1,601.5834,1h_after,10.180599999999913,1.692300685158519,True,4.0,15.246600000000058,2.534411687556548,4,9.713399999999979,1.614638967764067,47.46215943491484,52.935354157683626,32.05043821664847,1.157257142857166,8.797180525379957,603.5186204701066,-0.35777197204365485
25,2026-02-19,14:38,up,1.693,611.54,601.3594,E2,600.12,next_open,10.180599999999913,1.696427381190414,True,3.0,16.710000000000036,2.7844431113777306,3,8.25,1.3747250549890022,47.46215943491484,52.935354157683626,32.05043821664847,1.157257142857166,8.797180525379957,603.5186204701066,-0.35777197204365485
26,2026-02-20,12:32,up,1.1133,614.47,607.71,E1,605.5,1h_after,6.759999999999991,1.1164327002477277,True,3.0,11.330000000000041,1.871180842279115,3,13.629999999999995,2.2510322047894293,48.96193771626295,74.58152855170201,52.651754810376005,1.2339071428571384,5.478532188692146,606.3105852585592,0.23080823186421667
26,2026-02-20,12:32,up,1.1133,614.47,607.71,E2,606.605,next_open,6.759999999999991,1.1143989911062373,True,2.0,10.225000000000023,1.6856109000090707,2,14.735000000000014,2.4290930671524325,48.96193771626295,74.58152855170201,52.651754810376005,1.2339071428571384,5.478532188692146,606.3105852585592,0.23080823186421667
27,2026-03-04,13:42,down,1.2411,603.7801,611.37,E1,612.6945,1h_after,7.589900000000057,1.2387739729996037,True,1.0,21.364499999999907,3.4869743403931173,3,0.7755000000000791,0.1265720518137635,54.56598093326614,88.86262553550455,59.74648435599297,1.055228571428594,7.192659681043953,608.7847127812609,0.4246636231925323
27,2026-03-04,13:42,down,1.2411,603.7801,611.37,E2,607.4,next_open,7.589900000000057,1.2495719459993508,True,0.0,16.069999999999936,2.6457029963779943,2,5.889999999999986,0.9697069476457009,54.56598093326614,88.86262553550455,59.74648435599297,1.055228571428594,7.192659681043953,608.7847127812609,0.4246636231925323
28,2026-03-04,14:04,down,1.9226,599.9,611.6606,E1,612.69,1h_after,11.760600000000068,1.9195025216667592,True,2.0,21.360000000000014,3.4862654849924124,3,0.7799999999999727,0.12730744748567346,53.53653954537048,37.37237651246503,52.390096903806466,1.1748142857142787,10.010603499641398,608.8947206047463,0.45424591504204037
28,2026-03-04,14:04,down,1.9226,599.9,611.6606,E2,607.4,next_open,11.760600000000068,1.936219953901888,True,1.0,16.069999999999936,2.6457029963779943,2,5.889999999999986,0.9697069476457009,53.53653954537048,37.37237651246503,52.390096903806466,1.1748142857142787,10.010603499641398,608.8947206047463,0.45424591504204037
29,2026-03-06,13:39,up,1.366,610.75,602.444,E1,603.79,1h_after,8.30600000000004,1.3756438496828436,True,2.0,9.5,1.5733947233309595,2,25.25,4.181917554116497,37.3421798505524,26.07764610488014,40.63080400098472,1.3313500000000107,6.2387801855259495,602.7971713813768,-0.058588758896705666
29,2026-03-06,13:39,up,1.366,610.75,602.444,E2,594.225,next_open,8.30600000000004,1.3977870335310765,True,1.0,19.06499999999994,3.2083806638899306,1,15.68500000000006,2.639572552484338,37.3421798505524,26.07764610488014,40.63080400098472,1.3313500000000107,6.2387801855259495,602.7971713813768,-0.058588758896705666
30,2026-03-12,11:50,up,1.4861,608.8902,599.975,E1,600.33,1h_after,8.915200000000027,1.485049889227596,False,,5.569999999999936,0.927823030666456,3,26.90000000000009,4.480868855462843,62.5902578796561,38.04809887995204,52.95181098435315,1.6835000000000053,5.295634095634095,600.1553280594029,-0.030046898023211963
30,2026-03-12,11:50,up,1.4861,608.8902,599.975,E2,599.73,next_open,8.915200000000027,1.4865356076901317,False,,6.169999999999959,1.0287962916645754,2,26.300000000000068,4.3853067213579555,62.5902578796561,38.04809887995204,52.95181098435315,1.6835000000000053,5.295634095634095,600.1553280594029,-0.030046898023211963
31,2026-03-23,14:36,up,1.6444,600.93,591.21,E1,589.975,1h_after,9.719999999999914,1.6475274376032734,False,,1.3949999999999818,0.23645069706343178,2,34.375,5.826518072799694,87.19325153374413,83.82278588781439,74.90064275550776,1.2066571428571413,8.055312196623433,590.8414933009125,0.062369807006747005
31,2026-03-23,14:36,up,1.6444,600.93,591.21,E2,584.81,next_open,9.719999999999914,1.6620782818351114,False,,6.560000000000059,1.1217318445307125,1,29.209999999999923,4.994784630905751,87.19325153374413,83.82278588781439,74.90064275550776,1.2066571428571413,8.055312196623433,590.8414933009125,0.062369807006747005
32,2026-03-27,14:02,up,1.3723,571.48,563.58,E1,563.02,1h_after,7.899999999999977,1.4031473127064717,True,2.0,63.72000000000003,11.317537565272998,10,7.419999999999959,1.3178927924407586,36.50385604112938,87.49028574092516,22.053412897440182,0.7962785714285668,9.921151068811195,567.3520661340818,-0.6648545690129465
