date,ticker,total_volume,short_volume,short_volume_ratio,carteret_pct_of_short,nyse_short_volume,nasdaq_carteret_short_volume,nasdaq_chicago_short_volume,adf_short_volume,exempt_volume,svr_sma20,svr_zscore60
2026-03-23,PYPL,4900968.54,2026322.09,41.35,93.0833,120453,1886167,19702,0,1738.0,42.0685,-0.0564
2026-03-24,PYPL,4989934.19,1782466.94,35.72,95.2504,76068,1697806,8592,0,2110.0,41.669,-1.0333
2026-03-25,PYPL,4331362.79,1410109.21,32.56,94.6666,66887,1334903,8319,0,1940.0,40.961,-1.5557
2026-03-26,PYPL,4198148.13,1532599.5,36.51,95.5161,50751,1463880,17968,0,5039.0,40.2405,-0.8649
2026-03-27,PYPL,5495011.91,1646991.19,29.97,91.8918,114587,1513450,18953,0,7415.0,39.776,-1.946
2026-03-30,PYPL,4285834.03,1285915.25,30.0,94.8471,54649,1219653,11613,0,10278.0,39.3225,-1.8935
2026-03-31,PYPL,3504907.3,1226908.76,35.01,95.6892,41291,1174019,11598,0,4859.0,39.2115,-1.0285
2026-04-01,PYPL,4508344.73,1534070.71,34.03,95.8182,52647,1469919,11504,0,6005.0,38.6495,-1.1516
2026-04-02,PYPL,3155433.14,1348905.67,42.75,93.8651,75142,1266152,7611,0,893.0,38.2515,0.2703
2026-04-06,PYPL,3291130.39,1293860.87,39.31,86.1466,170163,1114617,9080,0,3840.0,37.7815,-0.2671
2026-04-07,PYPL,3163653.45,1152478.2,36.43,94.6511,53670,1090833,7975,0,4284.0,37.493,-0.7195
2026-04-08,PYPL,3715640.49,1119661.7,30.13,94.7416,52440,1060785,6436,0,4064.0,36.391,-1.7088
2026-04-09,PYPL,3156610.52,1203075.36,38.11,90.4149,111572,1087759,3744,0,2083.0,36.39,-0.3551
2026-04-10,PYPL,4531086.61,1915135.91,42.27,88.3678,214995,1692364,7776,0,18291.0,36.303,0.3711
2026-04-13,PYPL,5027481.85,1603197.84,31.89,94.5551,61871,1515906,25420,0,6771.0,35.8655,-1.3665
2026-04-14,PYPL,3225345.77,1176301.14,36.47,97.5101,23880,1147012,5409,0,5102.0,35.4595,-0.5608
2026-04-15,PYPL,4403892.25,1505985.72,34.2,96.8231,35777,1458142,12066,0,7653.0,35.428,-0.9218
2026-04-16,PYPL,4493910.65,1873225.96,41.68,97.2644,42681,1821982,8562,0,20845.0,35.462,0.369
2026-04-17,PYPL,6539151.05,2343257.87,35.83,95.3244,100891,2233696,8670,0,14460.0,35.8245,-0.6277
