date,ticker,total_volume,short_volume,short_volume_ratio,carteret_pct_of_short,nyse_short_volume,nasdaq_carteret_short_volume,nasdaq_chicago_short_volume,adf_short_volume,exempt_volume,svr_sma20,svr_zscore60
2025-12-01,SLV,24337312.0,17647322.0,72.51,91.8873,1178230,16215641,253451,0,17002.0,63.039,1.6121
2025-12-02,SLV,16136591.0,11570426.0,71.7,92.1258,757146,10659353,153927,0,14692.0,63.964,1.4459
2025-12-03,SLV,11289441.0,7607503.0,67.39,92.5771,485838,7042802,78863,0,9707.0,64.312,0.8359
2025-12-04,SLV,15286616.0,9027410.0,59.05,93.4888,487568,8439619,100223,0,37201.0,64.3515,-0.3445
2025-12-05,SLV,15352586.0,9094396.0,59.24,87.3998,976114,7948480,169802,0,859.0,64.3945,-0.3258
2025-12-08,SLV,7670511.0,5054754.0,65.9,94.3531,201052,4769317,84385,0,4553.0,64.75,0.6042
2025-12-09,SLV,20918224.0,13648238.0,65.25,90.0808,1172118,12294437,181683,0,26305.0,64.5545,0.5021
2025-12-10,SLV,17729737.0,11483041.0,64.77,92.3261,736140,10601843,145058,0,9353.0,64.3365,0.4104
2025-12-11,SLV,21317635.0,13590795.0,63.75,89.1243,1303963,12112695,174137,0,28888.0,64.151,0.2343
2025-12-12,SLV,25444604.0,14058094.0,55.25,94.1495,613312,13235622,209160,0,50654.0,63.774,-1.0199
2025-12-15,SLV,15428977.0,10993796.0,71.25,81.5582,1855132,8966346,172318,0,19872.0,64.805,1.3152
2025-12-16,SLV,9688517.0,6177603.0,63.76,93.2669,298490,5761660,117453,0,2106.0,64.8895,0.2444
2025-12-17,SLV,21052805.0,13945230.0,66.24,91.207,1027062,12719020,199148,0,15197.0,65.0225,0.6006
2025-12-18,SLV,15232871.0,8941118.0,58.7,93.8655,410645,8392623,137850,0,11580.0,64.853,-0.5254
2025-12-19,SLV,13247756.0,8696572.0,65.65,93.3567,402611,8118835,175126,0,12578.0,64.8225,0.51
2025-12-22,SLV,18622377.0,9955624.0,53.46,95.0933,335820,9467134,152670,0,10204.0,64.6195,-1.2594
2025-12-23,SLV,23399593.0,14496600.0,61.95,93.6412,698018,13574797,223785,0,16207.0,64.3355,0.0088
2025-12-24,SLV,20519432.0,12893687.0,62.84,94.3196,549609,12161269,182809,0,32298.0,64.34,0.1458
2025-12-26,SLV,47917329.0,29139365.0,60.81,92.2665,1669099,26885858,584408,0,92592.0,63.995,-0.1721
2025-12-29,SLV,60418264.0,34886356.0,57.74,92.9825,2034613,32438197,413546,0,3154360.0,63.3605,-0.6335
2025-12-30,SLV,44980100.0,25711211.0,57.16,90.9828,2074184,23392770,244257,0,3811037.0,62.593,-0.6968
2025-12-31,SLV,45111588.0,28928183.0,64.13,92.8912,1660378,26871744,396061,0,92076.0,62.2145,0.3705
2026-01-02,SLV,28411306.0,12506612.0,44.02,92.8651,716783,11614273,175556,0,120398.0,61.046,-2.4992
2026-01-05,SLV,34045521.0,14585651.0,42.84,93.0667,780098,13574383,231170,0,133018.0,60.2355,-2.4838
2026-01-06,SLV,34521132.0,17944129.0,51.98,92.5161,1104319,16601205,238605,0,46509.0,59.8725,-1.1919
2026-01-07,SLV,33483499.0,23262256.0,69.47,89.4358,2213337,20804789,244130,0,81256.0,60.051,1.1832
2026-01-08,SLV,26069097.0,16145554.0,61.93,92.0937,1044773,14869036,231745,0,72787.0,59.885,0.1769
2026-01-09,SLV,29797303.0,17750020.0,59.57,89.347,1643823,15859118,247079,0,71694.0,59.625,-0.1313
2026-01-12,SLV,33766903.0,14766998.0,43.73,90.5808,1082412,13376072,308514,0,43183.0,58.624,-2.1855
2026-01-13,SLV,49814025.0,20100727.0,40.35,90.541,1589047,18199409,312271,0,87187.0,57.879,-2.4558
